run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,680.8,40,58.8,
1,json_simple_product,json_generation,easy,True,True,364.8,37,101.4,
1,json_nested_address,json_generation,medium,True,True,590.1,60,101.7,
1,json_array_orders,json_generation,medium,True,True,1439.2,146,101.4,
1,json_complex_api,json_generation,hard,True,False,1362.8,139,102.0,Schema validation: 'metadata' is a required property (missing from output)
1,schema_weather,schema_adherence,easy,True,True,441.0,45,102.0,
1,schema_database_record,schema_adherence,medium,True,False,833.3,85,102.0,Schema validation: Additional properties not allowed ('additionalProperties' was unexpected)
1,schema_config_file,schema_adherence,hard,True,True,1564.3,150,95.9,
1,funcall_get_weather,function_calling,easy,True,True,245.9,25,101.7,
1,funcall_search_multi,function_calling,medium,True,False,267.6,27,100.9,Schema validation: single object returned instead of array format for multi-function call
1,funcall_database_query,function_calling,hard,True,True,435.7,44,101.0,
1,extract_business_card,extraction,easy,True,True,567.0,58,102.3,
1,extract_receipt,extraction,medium,True,True,1642.6,167,101.7,
1,extract_api_log,extraction,hard,True,True,1208.1,123,101.8,
