run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,1301.6,46,35.3,
1,json_simple_product,json_generation,easy,True,True,999.1,47,47.0,
1,json_nested_address,json_generation,medium,True,True,1551.0,71,45.8,
1,json_array_orders,json_generation,medium,True,True,3297.2,154,46.7,
1,json_complex_api,json_generation,hard,True,True,4053.5,187,46.1,
1,schema_weather,schema_adherence,easy,True,True,1126.0,51,45.3,
1,schema_database_record,schema_adherence,medium,True,True,1785.7,81,45.4,
1,schema_config_file,schema_adherence,hard,True,True,3237.5,150,46.3,
1,funcall_get_weather,function_calling,easy,True,True,555.5,26,46.8,
1,funcall_search_multi,function_calling,medium,True,True,1042.2,49,47.0,
1,funcall_database_query,function_calling,hard,True,True,1225.2,57,46.5,
1,extract_business_card,extraction,easy,True,True,1471.1,69,46.9,
1,extract_receipt,extraction,medium,True,False,3936.2,185,47.0,Schema validation: '20.49' is not of type 'number' (string instead of number for total field)
1,extract_api_log,extraction,hard,True,True,3213.8,151,47.0,
