run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,4004.0,50,12.5,
1,json_simple_product,json_generation,easy,True,True,3756.5,53,14.1,
1,json_nested_address,json_generation,medium,True,True,5455.0,77,14.1,
1,json_array_orders,json_generation,medium,True,True,14476.3,204,14.1,
1,json_complex_api,json_generation,hard,True,True,18683.9,264,14.1,
1,schema_weather,schema_adherence,easy,True,True,3830.6,54,14.1,
1,schema_database_record,schema_adherence,medium,True,False,6516.3,92,14.1,Schema validation: 'a1b2c3d4e5f67890' does not match pattern '^[a-f0-9]{8}$' (16 chars instead of 8)
1,schema_config_file,schema_adherence,hard,True,True,14523.3,205,14.1,
1,funcall_get_weather,function_calling,easy,True,True,2202.2,31,14.1,
1,funcall_search_multi,function_calling,medium,True,True,13020.2,184,14.1,
1,funcall_database_query,function_calling,hard,True,True,5031.1,71,14.1,
1,extract_business_card,extraction,easy,True,True,5174.4,73,14.1,
1,extract_receipt,extraction,medium,True,True,14020.4,198,14.1,
1,extract_api_log,extraction,hard,True,True,12042.3,170,14.1,
