run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,1108.1,38,34.3,
1,json_simple_product,json_generation,easy,True,True,914.3,43,47.0,
1,json_nested_address,json_generation,medium,True,True,1346.4,63,46.8,
1,json_array_orders,json_generation,medium,True,True,3241.5,151,46.6,
1,json_complex_api,json_generation,hard,True,True,3803.3,177,46.5,
1,schema_weather,schema_adherence,easy,True,True,1009.4,47,46.6,
1,schema_database_record,schema_adherence,medium,True,False,2225.9,103,46.3,Schema validation: UUID '550e8400-e29b-41d4-a716-446655440000' does not match pattern '^[a-f0-9]{8}$'
1,schema_config_file,schema_adherence,hard,True,True,2423.2,113,46.6,
1,funcall_get_weather,function_calling,easy,True,True,385.7,18,46.7,
1,funcall_search_multi,function_calling,medium,True,True,2179.1,101,46.4,
1,funcall_database_query,function_calling,hard,True,True,867.4,40,46.1,
1,extract_business_card,extraction,easy,True,True,1348.9,61,45.2,
1,extract_receipt,extraction,medium,True,True,3805.4,177,46.5,
1,extract_api_log,extraction,hard,True,True,3088.0,143,46.3,
