run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,705.7,25,35.4,
1,json_simple_product,json_generation,easy,True,True,479.0,28,58.5,
1,json_nested_address,json_generation,medium,True,True,776.5,45,57.9,
1,json_array_orders,json_generation,medium,True,True,2785.2,161,57.8,
1,json_complex_api,json_generation,hard,True,True,2950.8,177,60.0,
1,schema_weather,schema_adherence,easy,True,True,449.5,27,60.1,
1,schema_database_record,schema_adherence,medium,True,False,858.6,50,58.2,Schema validation: '4a3b2c1d0e' does not match pattern '^[a-f0-9]{8}$' (10 chars instead of 8)
1,schema_config_file,schema_adherence,hard,True,False,1301.6,78,59.9,Schema validation: Additional properties not allowed ('type' was unexpected)
1,funcall_get_weather,function_calling,easy,True,True,418.5,25,59.7,
1,funcall_search_multi,function_calling,medium,False,False,1115.1,67,60.1,Could not extract valid JSON
1,funcall_database_query,function_calling,hard,True,True,701.4,42,59.9,
1,extract_business_card,extraction,easy,True,True,802.2,48,59.8,
1,extract_receipt,extraction,medium,True,True,2126.0,128,60.2,
1,extract_api_log,extraction,hard,True,True,1515.6,91,60.0,
