run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,11040.3,45,4.1,
1,json_simple_product,json_generation,easy,True,True,11390.2,49,4.3,
1,json_nested_address,json_generation,medium,True,True,16729.6,72,4.3,
1,json_array_orders,json_generation,medium,True,True,44591.7,192,4.3,
1,json_complex_api,json_generation,hard,True,True,49188.0,209,4.2,
1,schema_weather,schema_adherence,easy,True,True,9645.1,41,4.3,
1,schema_database_record,schema_adherence,medium,True,True,20872.6,89,4.3,
1,schema_config_file,schema_adherence,hard,True,True,44620.5,190,4.3,
1,funcall_get_weather,function_calling,easy,True,True,4510.9,19,4.2,
1,funcall_search_multi,function_calling,medium,True,True,27482.2,117,4.3,
1,funcall_database_query,function_calling,hard,True,True,12202.4,52,4.3,
1,extract_business_card,extraction,easy,True,True,16014.6,68,4.2,
1,extract_receipt,extraction,medium,True,True,45453.8,193,4.2,
1,extract_api_log,extraction,hard,True,True,38774.4,165,4.3,
