run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,2929.7,39,13.3,
1,json_simple_product,json_generation,easy,True,True,2518.8,41,16.3,
1,json_nested_address,json_generation,medium,True,True,3806.0,63,16.6,
1,json_array_orders,json_generation,medium,True,True,8881.7,148,16.7,
1,json_complex_api,json_generation,hard,True,True,10716.3,180,16.8,
1,schema_weather,schema_adherence,easy,True,True,1951.0,31,15.9,
1,schema_database_record,schema_adherence,medium,True,True,3289.8,54,16.4,
1,schema_config_file,schema_adherence,hard,True,True,9654.4,162,16.8,
1,funcall_get_weather,function_calling,easy,True,True,1584.0,25,15.8,
1,funcall_search_multi,function_calling,medium,True,True,4880.7,81,16.6,
1,funcall_database_query,function_calling,hard,True,True,3829.8,63,16.5,
1,extract_business_card,extraction,easy,True,True,3702.3,61,16.5,
1,extract_receipt,extraction,medium,True,True,10577.0,177,16.7,
1,extract_api_log,extraction,hard,True,True,8566.5,143,16.7,
