model,phase,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,json_simple_person,json_generation,easy,True,True,1168.5,40,34.2,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,json_simple_person,json_generation,easy,True,True,623.1,40,64.2,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,json_simple_person,json_generation,easy,True,True,596.2,40,67.1,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,json_simple_product,json_generation,easy,True,True,614.5,39,63.5,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,json_simple_product,json_generation,easy,True,True,592.4,39,65.8,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,json_simple_product,json_generation,easy,True,True,586.9,39,66.4,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,json_nested_address,json_generation,medium,True,True,942.0,60,63.7,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,json_nested_address,json_generation,medium,True,True,1011.4,60,59.3,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,json_nested_address,json_generation,medium,True,True,998.8,60,60.1,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,json_array_orders,json_generation,medium,True,True,2394.8,146,61.0,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,json_array_orders,json_generation,medium,True,True,2304.7,146,63.3,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,json_array_orders,json_generation,medium,True,True,2475.4,146,59.0,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,json_complex_api,json_generation,hard,True,False,2266.7,139,61.3,"Schema validation: 'metadata' is a required property

Failed validating 'required' in schema:
    {'type': 'object',
  "
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,json_complex_api,json_generation,hard,True,False,2128.9,139,65.3,"Schema validation: 'metadata' is a required property

Failed validating 'required' in schema:
    {'type': 'object',
  "
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,json_complex_api,json_generation,hard,True,False,2156.5,139,64.5,"Schema validation: 'metadata' is a required property

Failed validating 'required' in schema:
    {'type': 'object',
  "
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,schema_weather,schema_adherence,easy,True,True,659.7,44,66.7,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,schema_weather,schema_adherence,easy,True,True,698.1,44,63.0,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,schema_weather,schema_adherence,easy,True,True,672.2,44,65.5,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,schema_database_record,schema_adherence,medium,True,False,1069.8,72,67.3,"Schema validation: Additional properties are not allowed ('maxItems' was unexpected)

Failed validating 'additionalProp"
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,schema_database_record,schema_adherence,medium,True,False,1095.0,72,65.8,"Schema validation: Additional properties are not allowed ('maxItems' was unexpected)

Failed validating 'additionalProp"
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,schema_database_record,schema_adherence,medium,True,False,1110.8,72,64.8,"Schema validation: Additional properties are not allowed ('maxItems' was unexpected)

Failed validating 'additionalProp"
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,schema_config_file,schema_adherence,hard,True,True,2192.5,142,64.8,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,schema_config_file,schema_adherence,hard,True,True,2128.4,142,66.7,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,schema_config_file,schema_adherence,hard,True,True,2127.7,142,66.7,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,funcall_get_weather,function_calling,easy,True,True,373.5,25,66.9,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,funcall_get_weather,function_calling,easy,True,True,382.7,25,65.3,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,funcall_get_weather,function_calling,easy,True,True,388.3,25,64.4,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,funcall_search_multi,function_calling,medium,True,False,424.1,27,63.7,"Schema validation: {'name': 'search_web', 'arguments': {'query': 'best restaurants in NYC', 'num_results': '5'}} is not"
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,funcall_search_multi,function_calling,medium,True,False,407.1,27,66.3,"Schema validation: {'name': 'search_web', 'arguments': {'query': 'best restaurants in NYC', 'num_results': '5'}} is not"
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,funcall_search_multi,function_calling,medium,True,False,399.7,27,67.6,"Schema validation: {'name': 'search_web', 'arguments': {'query': 'best restaurants in NYC', 'num_results': '5'}} is not"
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,funcall_database_query,function_calling,hard,True,True,676.0,44,65.1,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,funcall_database_query,function_calling,hard,True,True,667.2,44,66.0,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,funcall_database_query,function_calling,hard,True,True,655.5,44,67.1,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,extract_business_card,extraction,easy,True,True,902.0,58,64.3,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,extract_business_card,extraction,easy,True,True,844.5,58,68.7,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,extract_business_card,extraction,easy,True,True,890.0,58,65.2,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,extract_receipt,extraction,medium,True,True,2483.0,167,67.3,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,extract_receipt,extraction,medium,True,True,2500.9,167,66.8,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,extract_receipt,extraction,medium,True,True,2497.0,167,66.9,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,1,extract_api_log,extraction,hard,True,True,1839.2,123,66.9,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,2,extract_api_log,extraction,hard,True,True,1866.1,123,65.9,
meta-llama/Llama-3.2-1B-Instruct,2,0.0,3,extract_api_log,extraction,hard,True,True,1805.7,123,68.1,
meta-llama/Llama-3.2-1B-Instruct,2,0.3,1,json_simple_person,json_generation,easy,True,True,685.5,40,58.4,
meta-llama/Llama-3.2-1B-Instruct,2,0.3,2,json_simple_person,json_generation,easy,True,True,602.3,40,66.4,
meta-llama/Llama-3.2-1B-Instruct,2,0.3,3,json_simple_person,json_generation,easy,True,True,592.2,40,67.5,
meta-llama/Llama-3.2-1B-Instruct,2,0.3,1,json_simple_product,json_generation,easy,True,True,596.4,40,67.1,
