model,phase,decoder,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,compile_ms,tokens_generated,tokens_per_sec,error
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,json_simple_person,json_generation,easy,True,True,1618.0,0.0,32,19.8,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,json_simple_product,json_generation,easy,True,True,852.4,0.0,30,35.2,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,json_nested_address,json_generation,medium,True,True,1270.1,0.0,45,35.4,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,json_array_orders,json_generation,medium,True,True,4804.0,0.0,161,33.5,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,json_complex_api,json_generation,hard,True,True,5060.3,0.0,177,35.0,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,schema_weather,schema_adherence,easy,True,True,763.0,0.0,27,35.4,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,schema_database_record,schema_adherence,medium,True,False,1536.3,0.0,55,35.8,"Schema validation: '4a3b4c5d6e7f8' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' in schema['properties']["
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,schema_config_file,schema_adherence,hard,True,False,2259.8,0.0,77,34.1,"Schema validation: ['*'] is not of type 'object'

Failed validating 'type' in schema:
    {'type': 'object',
     'prop"
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,funcall_get_weather,function_calling,easy,True,True,700.9,0.0,25,35.7,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,funcall_search_multi,function_calling,medium,False,False,1878.5,0.0,67,35.7,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,funcall_database_query,function_calling,hard,True,True,1179.0,0.0,42,35.6,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,extract_business_card,extraction,easy,True,True,1350.1,0.0,48,35.6,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,extract_receipt,extraction,medium,True,True,3583.9,0.0,128,35.7,
meta-llama/Llama-3.2-3B-Instruct,3,native,0.0,1,extract_api_log,extraction,hard,True,True,2537.6,0.0,91,35.9,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,json_simple_person,json_generation,easy,True,True,4243.8,1057.6,31,7.3,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,json_simple_product,json_generation,easy,True,True,920.8,1018.8,30,32.6,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,json_nested_address,json_generation,medium,True,True,1360.4,791.4,45,33.1,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,json_array_orders,json_generation,medium,True,True,3021.6,1579.3,99,32.8,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,json_complex_api,json_generation,hard,True,True,3859.3,1288.5,126,32.6,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,schema_weather,schema_adherence,easy,True,True,825.5,1035.7,27,32.7,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,schema_database_record,schema_adherence,medium,True,True,1609.8,1128.9,52,32.3,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,schema_config_file,schema_adherence,hard,True,True,1816.0,1590.2,60,33.0,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,funcall_get_weather,function_calling,easy,True,True,582.5,3919.4,19,32.6,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,funcall_search_multi,function_calling,medium,True,True,2185.4,7695.7,72,32.9,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,funcall_database_query,function_calling,hard,True,True,1273.7,4206.9,42,33.0,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,extract_business_card,extraction,easy,True,True,1455.0,715.1,48,33.0,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,extract_receipt,extraction,medium,True,True,3848.0,1229.0,128,33.3,
meta-llama/Llama-3.2-3B-Instruct,3,outlines,0.0,1,extract_api_log,extraction,hard,True,True,3340.1,1060.3,111,33.2,
meta-llama/Llama-3.2-3B-Instruct,3,xgrammar,0.0,1,json_simple_person,json_generation,easy,True,True,1370.7,23.5,32,23.3,
meta-llama/Llama-3.2-3B-Instruct,3,xgrammar,0.0,1,json_simple_product,json_generation,easy,True,True,874.5,2.0,30,34.3,
meta-llama/Llama-3.2-3B-Instruct,3,xgrammar,0.0,1,json_nested_address,json_generation,medium,True,True,1306.7,2.3,45,34.4,
meta-llama/Llama-3.2-3B-Instruct,3,xgrammar,0.0,1,json_array_orders,json_generation,medium,True,True,4690.5,2.8,161,34.3,
meta-llama/Llama-3.2-3B-Instruct,3,xgrammar,0.0,1,json_complex_api,json_generation,hard,True,True,3867.7,3.5,133,34.4,
